         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    301/3    0.293    0.001    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      826    0.262    0.000    0.262    0.000 {built-in method _io.open_code}
     2422    0.212    0.000    0.212    0.000 {built-in method nt._getfinalpathname}
    26428    0.201    0.000    0.214    0.000 {built-in method builtins.hasattr}
     3131    0.172    0.000    0.172    0.000 {built-in method nt.stat}
      826    0.155    0.000    0.155    0.000 {built-in method marshal.loads}
   1863/0    0.136    0.000    0.000          {built-in method builtins.exec}
        1    0.097    0.097    0.097    0.097 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\scipy\io\matlab\_mio5.py:274(read_var_array)
   298/24    0.085    0.000    0.097    0.004 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
       48    0.083    0.002    0.084    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1762(load_tensor)
       48    0.081    0.002    0.082    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_guards.py:869(detect_fake_mode)
     3348    0.064    0.000    0.179    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:1468(cross)
      847    0.063    0.000    0.063    0.000 {method 'read' of '_io.BufferedReader' objects}
     1167    0.046    0.000    0.046    0.000 {built-in method nt._path_exists}
 1104/562    0.045    0.000    0.097    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2470(_signature_from_callable)
1882/1836    0.043    0.000    0.495    0.000 {built-in method builtins.__build_class__}
     5377    0.042    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
    20088    0.037    0.000    0.051    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:1330(normalize_axis_tuple)
      472    0.035    0.000    0.081    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
    55931    0.035    0.000    0.038    0.000 {built-in method builtins.getattr}
    10044    0.030    0.000    0.097    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:1393(moveaxis)
      826    0.027    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
144662/144361    0.024    0.000    0.025    0.000 {built-in method builtins.len}
     2625    0.024    0.000    0.024    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1786(_check_instance)
107540/107421    0.024    0.000    0.024    0.000 {built-in method builtins.isinstance}
       51    0.021    0.000    0.023    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\_collections_abc.py:804(get)
      839    0.020    0.000    0.020    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.019    0.019    0.019    0.019 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1715(_load)
      826    0.017    0.000    0.632    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
       24    0.016    0.001    0.236    0.010 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\library.py:113(define)
      110    0.015    0.000    0.222    0.002 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\OBGuidance.py:195(computeA)
        1    0.015    0.015    0.015    0.015 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\scipy\integrate\_ivp\rk.py:584(_call_impl)
    15666    0.015    0.000    0.023    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:7(supercedes)
   3501/2    0.014    0.000    0.007    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
      274    0.014    0.000    0.278    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:921(_process_class)
     1058    0.013    0.000    0.205    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      446    0.013    0.000    0.099    0.000 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\dynamicsModel.py:54(CR3BP_MoonFrame)
    54710    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
   232/25    0.012    0.000    0.037    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
     1840    0.011    0.000    0.019    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\functools.py:35(update_wrapper)
    29350    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
      851    0.011    0.000    0.250    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
